timestamp,config,model,parallel,prompt_length,max_tokens,requests,time_taken,output_throughput,total_throughput,request_throughput,latency,ttft,token_latency,inter_token_latency,input_tokens,output_tokens,avg_gpu_memory,max_gpu_memory,min_gpu_memory,10p_ttft_,10p_itl_,10p_tpot_,10p_latency_,10p_input_tokens,10p_output_tokens,10p_output_(tok/s),10p_total_(tok/s),25p_ttft_,25p_itl_,25p_tpot_,25p_latency_,25p_input_tokens,25p_output_tokens,25p_output_(tok/s),25p_total_(tok/s),50p_ttft_,50p_itl_,50p_tpot_,50p_latency_,50p_input_tokens,50p_output_tokens,50p_output_(tok/s),50p_total_(tok/s),66p_ttft_,66p_itl_,66p_tpot_,66p_latency_,66p_input_tokens,66p_output_tokens,66p_output_(tok/s),66p_total_(tok/s),75p_ttft_,75p_itl_,75p_tpot_,75p_latency_,75p_input_tokens,75p_output_tokens,75p_output_(tok/s),75p_total_(tok/s),80p_ttft_,80p_itl_,80p_tpot_,80p_latency_,80p_input_tokens,80p_output_tokens,80p_output_(tok/s),80p_total_(tok/s),90p_ttft_,90p_itl_,90p_tpot_,90p_latency_,90p_input_tokens,90p_output_tokens,90p_output_(tok/s),90p_total_(tok/s),95p_ttft_,95p_itl_,95p_tpot_,95p_latency_,95p_input_tokens,95p_output_tokens,95p_output_(tok/s),95p_total_(tok/s),98p_ttft_,98p_itl_,98p_tpot_,98p_latency_,98p_input_tokens,98p_output_tokens,98p_output_(tok/s),98p_total_(tok/s),99p_ttft_,99p_itl_,99p_tpot_,99p_latency_,99p_input_tokens,99p_output_tokens,99p_output_(tok/s),99p_total_(tok/s)
20251129_135846,p32_n100_dp_long,Qwen3-VL-235B-A22B-Instruct,32,long,200,100,12.7294,1572.1364,2216.7124,7.8607,3.4672,0.2375,0.0162,0.0161,82.0,200.0,0,0,0,0.1029,0.0,0.0144,2.9971,82,200,51.4532,72.549,0.1187,0.0,0.0155,3.2241,82,200,54.0023,76.1432,0.1434,0.0,0.0157,3.49,82,200,57.3202,80.8215,0.3059,0.002,0.0166,3.6152,82,200,60.4694,85.2619,0.3648,0.008,0.0179,3.704,82,200,62.0817,87.5351,0.3683,0.0133,0.0181,3.7797,82,200,62.5027,88.1288,0.4777,0.0198,0.0189,3.8905,82,200,66.7319,94.0919,0.4851,0.0705,0.019,3.9014,82,200,67.8958,95.7331,0.5363,0.2878,0.019,3.9142,82,200,68.2047,96.1686,0.5456,0.3479,0.019,3.9158,82,200,77.6241,109.45
20251129_135117,p32_n100_dp_short,Qwen3-VL-235B-A22B-Instruct,32,short,200,100,3.9966,1565.3656,1917.812,25.1747,1.1733,0.2845,0.0145,0.0143,14.0,62.18,0,0,0,0.1095,0.0,0.0086,0.9513,14,61,43.4604,53.435,0.1217,0.0,0.0131,1.0182,14,61,45.0411,54.7422,0.2861,0.0,0.0152,1.0909,14,61,57.5432,70.5368,0.41,0.0012,0.0159,1.3979,14,62,59.4375,72.7348,0.4449,0.0068,0.0161,1.4065,14,65,63.5023,78.0766,0.4461,0.012,0.0164,1.4362,14,65,63.5618,78.1497,0.4524,0.0177,0.0185,1.4469,14,65,64.5273,79.3368,0.5317,0.0944,0.0187,1.4507,14,65,67.0431,82.4301,0.5361,0.2563,0.0202,1.4555,14,65,67.385,82.8504,0.8396,0.3092,0.0211,1.7375,14,65,67.4249,82.8995
20251129_135123,p64_n100_dp_short,Qwen3-VL-235B-A22B-Instruct,64,short,200,100,3.4757,1839.1525,2241.9706,28.7727,1.6649,0.5953,0.017,0.0167,14.0,63.92,0,0,0,0.3712,0.0,0.0118,1.392,14,61,31.3964,38.1587,0.3745,0.0,0.0147,1.3995,14,61,33.0872,40.2136,0.4716,0.0,0.0166,1.4919,14,65,40.9097,50.2988,0.7818,0.0,0.0188,1.8759,14,65,43.8363,53.6977,0.8626,0.0016,0.0189,1.8793,14,65,46.335,56.3149,0.8632,0.0053,0.0204,1.975,14,65,46.4001,56.394,0.8772,0.0179,0.022,2.0704,14,65,46.6401,56.6857,0.879,0.1059,0.022,2.1577,14,65,46.8773,56.974,0.8947,0.2847,0.0247,2.1625,14,65,47.3783,57.5828,0.9614,0.3789,0.0264,2.165,14,65,47.4212,57.6349
