config,count,model,parallel,prompt_length,max_tokens,output_throughput_avg,output_throughput_std,output_throughput_min,output_throughput_max,total_throughput_avg,total_throughput_std,total_throughput_min,total_throughput_max,request_throughput_avg,request_throughput_std,request_throughput_min,request_throughput_max,latency_avg,latency_std,latency_min,latency_max,ttft_avg,ttft_std,ttft_min,ttft_max,token_latency_avg,token_latency_std,token_latency_min,token_latency_max,inter_token_latency_avg,inter_token_latency_std,inter_token_latency_min,inter_token_latency_max,input_tokens_avg,input_tokens_std,input_tokens_min,input_tokens_max,output_tokens_avg,output_tokens_std,output_tokens_min,output_tokens_max,time_taken_avg,time_taken_std,time_taken_min,time_taken_max
p32_n100_dp_long,1,Qwen3-VL-235B-A22B-Instruct,32,long,200,1572.1364,0,1572.1364,1572.1364,2216.7124,0,2216.7124,2216.7124,7.8607,0,7.8607,7.8607,3.4672,0,3.4672,3.4672,0.2375,0,0.2375,0.2375,0.0162,0,0.0162,0.0162,0.0161,0,0.0161,0.0161,82.0,0,82.0,82.0,200.0,0,200.0,200.0,12.7294,0,12.7294,12.7294
p32_n100_dp_short,1,Qwen3-VL-235B-A22B-Instruct,32,short,200,1565.3656,0,1565.3656,1565.3656,1917.812,0,1917.812,1917.812,25.1747,0,25.1747,25.1747,1.1733,0,1.1733,1.1733,0.2845,0,0.2845,0.2845,0.0145,0,0.0145,0.0145,0.0143,0,0.0143,0.0143,14.0,0,14.0,14.0,62.18,0,62.18,62.18,3.9966,0,3.9966,3.9966
p64_n100_dp_short,1,Qwen3-VL-235B-A22B-Instruct,64,short,200,1839.1525,0,1839.1525,1839.1525,2241.9706,0,2241.9706,2241.9706,28.7727,0,28.7727,28.7727,1.6649,0,1.6649,1.6649,0.5953,0,0.5953,0.5953,0.017,0,0.017,0.017,0.0167,0,0.0167,0.0167,14.0,0,14.0,14.0,63.92,0,63.92,63.92,3.4757,0,3.4757,3.4757
