timestamp,config,model,parallel,prompt_length,max_tokens,requests,time_taken,output_throughput,total_throughput,request_throughput,latency,ttft,token_latency,inter_token_latency,input_tokens,output_tokens,avg_gpu_memory,max_gpu_memory,min_gpu_memory,10p_ttft_,10p_itl_,10p_tpot_,10p_latency_,10p_input_tokens,10p_output_tokens,10p_output_(tok/s),10p_total_(tok/s),25p_ttft_,25p_itl_,25p_tpot_,25p_latency_,25p_input_tokens,25p_output_tokens,25p_output_(tok/s),25p_total_(tok/s),50p_ttft_,50p_itl_,50p_tpot_,50p_latency_,50p_input_tokens,50p_output_tokens,50p_output_(tok/s),50p_total_(tok/s),66p_ttft_,66p_itl_,66p_tpot_,66p_latency_,66p_input_tokens,66p_output_tokens,66p_output_(tok/s),66p_total_(tok/s),75p_ttft_,75p_itl_,75p_tpot_,75p_latency_,75p_input_tokens,75p_output_tokens,75p_output_(tok/s),75p_total_(tok/s),80p_ttft_,80p_itl_,80p_tpot_,80p_latency_,80p_input_tokens,80p_output_tokens,80p_output_(tok/s),80p_total_(tok/s),90p_ttft_,90p_itl_,90p_tpot_,90p_latency_,90p_input_tokens,90p_output_tokens,90p_output_(tok/s),90p_total_(tok/s),95p_ttft_,95p_itl_,95p_tpot_,95p_latency_,95p_input_tokens,95p_output_tokens,95p_output_(tok/s),95p_total_(tok/s),98p_ttft_,98p_itl_,98p_tpot_,98p_latency_,98p_input_tokens,98p_output_tokens,98p_output_(tok/s),98p_total_(tok/s),99p_ttft_,99p_itl_,99p_tpot_,99p_latency_,99p_input_tokens,99p_output_tokens,99p_output_(tok/s),99p_total_(tok/s)
20251130_091754,p4_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,4,short,200,1000,240.0969,277.7559,336.2361,4.1772,0.9581,0.9581,0.0,0.0,14.0,66.494,0,0,0,0.8134,nan,0.0,0.8134,14,65,59.1732,71.8528,0.8634,nan,0.0,0.8634,14,65,65.1441,79.0054,0.9231,nan,0.0,0.9231,14,65,71.8355,86.5204,0.9987,nan,0.0,0.9987,14,65,73.523,89.1232,1.0248,nan,0.0,1.0248,14,65,75.4772,91.5756,1.0598,nan,0.0,1.0598,14,65,76.2095,92.5662,1.1255,nan,0.0,1.1255,14,72,79.2367,96.0087,1.2013,nan,0.0,1.2013,14,72,81.7274,99.3302,1.2988,nan,0.0,1.2988,14,80,83.2218,101.1466,1.3737,nan,0.0,1.3737,14,88,83.3426,101.2934
20251130_083738,p4_n1000_dp_medium,Qwen3-VL-235B-A22B-Instruct,4,short,200,1000,237.1609,281.9386,340.971,4.2166,0.9476,0.9476,0.0,0.0,14.0,66.864,0,0,0,0.8176,nan,0.0,0.8176,14,65,61.7406,74.4225,0.8646,nan,0.0,0.8646,14,65,67.4314,81.6459,0.9197,nan,0.0,0.9197,14,65,72.0511,87.0064,0.9886,nan,0.0,0.9886,14,65,73.942,89.524,1.0136,nan,0.0,1.0136,14,65,75.3824,91.3248,1.0356,nan,0.0,1.0356,14,72,76.0079,92.2538,1.1001,nan,0.0,1.1001,14,72,79.0431,95.8034,1.1773,nan,0.0,1.1773,14,78,81.1798,98.6646,1.2181,nan,0.0,1.2181,14,80,83.1666,101.0794,1.2995,nan,0.0,1.2995,14,88,83.3104,101.2542
20251130_071847,p4_n1000_dp_short,Qwen3-VL-235B-A22B-Instruct,4,short,200,1000,234.7945,285.0815,344.7836,4.2644,0.9378,0.9378,0.0,0.0,14.0,66.851,0,0,0,0.8167,nan,0.0,0.8167,14,65,64.7157,78.1162,0.8651,nan,0.0,0.8651,14,65,69.585,83.7309,0.9137,nan,0.0,0.9137,14,65,72.1986,87.4565,0.9722,nan,0.0,0.9722,14,65,73.8697,89.342,0.9998,nan,0.0,0.9998,14,65,75.4243,91.3897,1.0074,nan,0.0,1.0074,14,72,76.3074,92.7164,1.0958,nan,0.0,1.0958,14,72,79.156,95.9716,1.1154,nan,0.0,1.1154,14,74,81.3238,98.8397,1.2103,nan,0.0,1.2103,14,80,83.1231,101.0265,1.2988,nan,0.0,1.2988,14,88,83.3001,101.2417
20251130_092603,p64_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,64,short,200,1000,22.9969,2959.5524,3572.9675,43.8154,1.4288,1.4288,0.0,0.0,14.0,67.546,0,0,0,1.2228,nan,0.0,1.2228,14,65,40.6597,49.4585,1.3004,nan,0.0,1.3004,14,65,44.5014,53.6987,1.3974,nan,0.0,1.3974,14,65,48.3009,57.9685,1.4885,nan,0.0,1.4885,14,65,49.9995,60.6781,1.5645,nan,0.0,1.5645,14,72,50.6432,61.4476,1.5993,nan,0.0,1.5993,14,72,51.4117,61.9848,1.6941,nan,0.0,1.6941,14,72,53.9068,64.9808,1.7049,nan,0.0,1.7049,14,76,55.2864,66.9457,1.8013,nan,0.0,1.8013,14,88,58.2366,69.2037,1.9397,nan,0.0,1.9397,14,88,58.8968,70.7454
20251130_084543,p64_n1000_dp_medium,Qwen3-VL-235B-A22B-Instruct,64,short,200,1000,23.3722,2942.6967,3541.7276,42.7879,1.4562,1.4562,0.0,0.0,14.0,68.774,0,0,0,1.2351,nan,0.0,1.2351,14,65,41.938,50.3033,1.3097,nan,0.0,1.3097,14,65,44.9796,53.8568,1.4256,nan,0.0,1.4256,14,65,48.1204,57.9158,1.4992,nan,0.0,1.4992,14,72,50.0368,60.5252,1.5397,nan,0.0,1.5397,14,72,50.7914,61.0238,1.5891,nan,0.0,1.5891,14,72,51.5687,61.6289,1.6987,nan,0.0,1.6987,14,76,52.9508,64.0086,1.9687,nan,0.0,1.9687,14,87,54.4889,65.7477,1.9788,nan,0.0,1.9788,14,88,56.1593,68.3767,1.9805,nan,0.0,1.9805,14,88,58.3083,69.9067
20251130_072649,p64_n1000_dp_short,Qwen3-VL-235B-A22B-Instruct,64,short,200,1000,22.8163,2986.2503,3599.8484,43.8284,1.4231,1.4231,0.0,0.0,14.0,68.135,0,0,0,1.2116,nan,0.0,1.2116,14,65,42.5667,51.6317,1.2993,nan,0.0,1.2993,14,65,45.7981,55.4536,1.4004,nan,0.0,1.4004,14,65,48.4357,58.5151,1.4853,nan,0.0,1.4853,14,72,50.2557,60.6758,1.5013,nan,0.0,1.5013,14,72,51.2116,61.6258,1.5263,nan,0.0,1.5263,14,72,51.8564,62.4872,1.6131,nan,0.0,1.6131,14,72,54.2472,65.692,1.7984,nan,0.0,1.7984,14,78,56.4371,68.5928,1.9214,nan,0.0,1.9214,14,88,59.1794,71.6125,2.2118,nan,0.0,2.2118,14,88,60.1904,72.3304
20251130_092155,p8_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,8,short,200,1000,130.5609,515.671,623.4086,7.6955,1.0391,1.0391,0.0,0.0,14.0,67.009,0,0,0,0.8891,nan,0.0,0.8891,14,65,55.4124,67.2489,0.9424,nan,0.0,0.9424,14,65,60.005,72.3685,1.0166,nan,0.0,1.0166,14,65,65.451,79.1168,1.089,nan,0.0,1.089,14,65,68.4269,82.6441,1.1015,nan,0.0,1.1015,14,65,70.2692,84.801,1.1295,nan,0.0,1.1295,14,72,71.266,86.1172,1.2008,nan,0.0,1.2008,14,72,73.549,88.9375,1.2993,nan,0.0,1.2993,14,75,75.1132,91.1775,1.3482,nan,0.0,1.3482,14,80,77.4977,94.0091,1.4705,nan,0.0,1.4705,14,88,78.6098,95.5412
20251130_084137,p8_n1000_dp_medium,Qwen3-VL-235B-A22B-Instruct,8,short,200,1000,130.4209,514.0243,621.4404,7.6726,1.042,1.042,0.0,0.0,14.0,66.995,0,0,0,0.8986,nan,0.0,0.8986,14,65,55.386,66.5181,0.9528,nan,0.0,0.9528,14,65,60.0941,72.6006,1.0134,nan,0.0,1.0134,14,65,65.4919,79.0686,1.0912,nan,0.0,1.0912,14,65,67.6685,82.076,1.1009,nan,0.0,1.1009,14,68,69.502,84.2952,1.1268,nan,0.0,1.1268,14,72,70.5173,85.3838,1.2003,nan,0.0,1.2003,14,72,72.6821,88.0264,1.2989,nan,0.0,1.2989,14,72,74.347,90.2657,1.3522,nan,0.0,1.3522,14,80,76.4317,92.6432,1.3996,nan,0.0,1.3996,14,88,77.5353,94.2859
20251130_072244,p8_n1000_dp_short,Qwen3-VL-235B-A22B-Instruct,8,short,200,1000,129.563,520.5636,628.6269,7.7188,1.0326,1.0326,0.0,0.0,14.0,67.441,0,0,0,0.8953,nan,0.0,0.8953,14,65,57.9273,69.8312,0.9412,nan,0.0,0.9412,14,65,62.3008,75.5973,1.0022,nan,0.0,1.0022,14,65,65.6473,79.1962,1.072,nan,0.0,1.072,14,65,68.4477,82.6824,1.1003,nan,0.0,1.1003,14,72,70.1982,84.7462,1.1167,nan,0.0,1.1167,14,72,71.0619,86.0213,1.1999,nan,0.0,1.1999,14,72,72.8304,88.3626,1.2811,nan,0.0,1.2811,14,76,74.9695,90.7499,1.3234,nan,0.0,1.3234,14,87,76.6181,93.2618,1.3985,nan,0.0,1.3985,14,88,79.926,97.1409
20251130_092628,p96_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,96,short,200,1000,18.6732,3695.3306,4445.0861,53.554,1.7364,1.7364,0.0,0.0,14.0,69.002,0,0,0,1.35,nan,0.0,1.35,14,65,32.3462,39.3327,1.5017,nan,0.0,1.5017,14,65,36.1098,43.7127,1.7122,nan,0.0,1.7122,14,65,40.145,48.1453,1.8825,nan,0.0,1.8825,14,72,43.2367,52.378,1.9797,nan,0.0,1.9797,14,72,45.2079,53.8366,2.0079,nan,0.0,2.0079,14,72,46.3094,56.1815,2.0992,nan,0.0,2.0992,14,80,48.1664,58.2203,2.2048,nan,0.0,2.2048,14,88,49.2286,59.8316,2.2959,nan,0.0,2.2959,14,88,51.9971,63.1965,2.3719,nan,0.0,2.3719,14,88,54.0327,65.6706
20251130_084608,p96_n1000_dp_medium,Qwen3-VL-235B-A22B-Instruct,96,short,200,1000,17.7736,3825.0129,4612.7009,56.2634,1.6553,1.6553,0.0,0.0,14.0,67.984,0,0,0,1.3535,nan,0.0,1.3535,14,65,34.2949,41.6596,1.4402,nan,0.0,1.4402,14,65,37.3713,44.723,1.5988,nan,0.0,1.5988,14,65,42.2516,50.6466,1.7945,nan,0.0,1.7945,14,72,45.1858,54.4677,1.8205,nan,0.0,1.8205,14,72,46.2211,55.7281,1.886,nan,0.0,1.886,14,72,47.0495,56.6458,1.9927,nan,0.0,1.9927,14,72,48.3424,58.6123,2.1037,nan,0.0,2.1037,14,80,49.9237,60.3526,2.3045,nan,0.0,2.3045,14,88,52.2865,63.3379,2.4905,nan,0.0,2.4905,14,88,55.4802,66.782
20251130_072713,p96_n1000_dp_short,Qwen3-VL-235B-A22B-Instruct,96,short,200,1000,18.0781,3768.1683,4542.5897,55.3158,1.6788,1.6788,0.0,0.0,14.0,68.121,0,0,0,1.3992,nan,0.0,1.3992,14,61,31.1362,37.84,1.4913,nan,0.0,1.4913,14,65,39.9499,47.7721,1.5942,nan,0.0,1.5942,14,65,42.4924,51.1658,1.6977,nan,0.0,1.6977,14,70,43.9666,52.9461,1.7982,nan,0.0,1.7982,14,72,45.0712,54.2719,1.8269,nan,0.0,1.8269,14,72,45.7582,55.2488,2.0974,nan,0.0,2.0974,14,74,47.4019,57.2423,2.4725,nan,0.0,2.4725,14,88,48.2407,58.5243,2.4801,nan,0.0,2.4801,14,88,51.1034,60.9226,2.4843,nan,0.0,2.4843,14,88,52.5353,63.4545
